transaction_id,transaction_date,customer_id,merchant_id,merchant_category,transaction_amount,city,state,payment_method,card_type,customer_age,customer_income,transaction_hour,is_international,is_weekend,previous_transaction_amount,distance_from_home_km,ground_truth_unusual
TXN0000021,2026-05-21 03:42:05,CUST000217,MERCH00091,Education,124.65,Phoenix,AZ,Chip,Gold,23,64323.19,18,1,0,175.88,1520.95,0
TXN0000022,2026-05-31 08:39:18,CUST000951,MERCH00147,Restaurants,47.15,San Antonio,TX,Chip,Platinum,47,75034.24,18,0,1,50.38,9.41,0
TXN0000023,2026-06-08 18:17:29,CUST000183,MERCH00150,Restaurants,40.95,Philadelphia,PA,Online,Gold,53,91470.02,22,0,0,1.0,13.02,0
TXN0000024,2025-10-03 02:42:05,CUST000270,MERCH00052,Fashion,65.57,Miami,FL,Chip,Gold,55,65214.33,9,0,0,39.37,7.94,0
TXN0000025,2025-12-07 10:31:37,CUST000945,MERCH00243,Utilities,95.66,Chicago,IL,Chip,Business Green,67,95476.95,2,0,1,110.43,2.67,0
TXN0000026,2026-07-04 12:18:35,CUST001491,MERCH00219,Utilities,167.23,Boston,MA,Chip,Platinum,73,76478.02,11,0,1,147.91,8.14,0
TXN0000027,2026-05-21 22:11:25,CUST000870,MERCH00006,Electronics,119.36,Las Vegas,NV,Online,Business Green,22,30428.77,9,1,0,122.78,3225.01,0
TXN0000028,2026-04-28 21:34:10,CUST000467,MERCH00109,Healthcare,133.51,Dallas,TX,Chip,Business Platinum,24,39656.29,15,1,0,173.92,6925.23,0
TXN0000029,2026-07-30 22:03:53,CUST000305,MERCH00351,Utilities,115.77,Atlanta,GA,Chip,Platinum,74,91118.1,21,0,0,107.36,34.57,0
TXN0000030,2026-07-08 03:48:32,CUST001168,MERCH00066,Utilities,58.73,Phoenix,AZ,Contactless (Tap),Platinum,54,92598.59,18,0,0,58.68,11.26,0
TXN0000031,2026-06-28 14:50:09,CUST000111,MERCH00010,Fashion,123.92,San Jose,CA,Contactless (Tap),Gold,18,32461.72,8,0,1,89.21,12.01,0
TXN0000032,2026-01-25 20:20:05,CUST001014,MERCH00202,Travel,250.15,Atlanta,GA,Chip,Business Platinum,48,97255.79,8,0,1,176.18,16.34,0
TXN0000033,2025-10-09 06:07:09,CUST000232,MERCH00282,Fashion,35.33,Phoenix,AZ,Chip,Gold,58,99384.52,21,0,0,22.1,5.99,0
TXN0000034,2026-07-29 09:10:49,CUST000595,MERCH00389,Electronics,185.52,Boston,MA,Online,Platinum,73,83139.86,14,0,0,140.47,5.56,0
TXN0000035,2026-01-11 01:25:05,CUST001297,MERCH00214,Grocery,49.7,Miami,FL,Chip,Business Platinum,19,26141.27,22,1,1,58.65,7455.25,0
TXN0000036,2026-01-20 13:48:17,CUST000173,MERCH00068,Travel,152.96,Phoenix,AZ,Chip,Platinum,49,99406.01,18,0,0,156.44,28.62,0
TXN0000037,2026-08-04 19:30:59,CUST000973,MERCH00247,Restaurants,43.78,Seattle,WA,Contactless (Tap),Gold,32,38738.53,23,0,0,30.86,13.98,0
TXN0000038,2025-10-01 06:31:46,CUST001031,MERCH00354,Fuel,11.7,Phoenix,AZ,Contactless (Tap),Business Platinum,68,93116.55,21,0,0,1.0,0.52,0
TXN0000039,2026-01-17 08:15:19,CUST001179,MERCH00327,Home & Furniture,314.68,Detroit,MI,Swipe,Platinum,23,27415.3,13,0,1,431.14,5.97,0
TXN0000040,2025-09-17 22:31:58,CUST000546,MERCH00050,Entertainment,6.37,Dallas,TX,Swipe,Green,70,112594.92,19,0,0,11.16,1.46,0
TXN0000041,2025-12-22 01:48:23,CUST000548,MERCH00017,Fuel,42.84,New York,NY,Contactless (Tap),Business Platinum,33,43685.14,14,0,0,46.22,2.26,0
TXN0000042,2026-05-01 18:43:17,CUST000518,MERCH00011,Fashion,67.16,San Jose,CA,Contactless (Tap),Platinum,30,63304.03,10,0,0,63.3,14.29,0
TXN0000043,2026-06-25 09:34:11,CUST000914,MERCH00309,Online Retail,19.82,Las Vegas,NV,Contactless (Tap),Gold,40,78576.87,10,0,0,35.04,1.02,0
TXN0000044,2025-09-22 21:46:14,CUST000215,MERCH00306,Healthcare,48.73,New York,NY,Online,Platinum,20,28402.93,13,0,0,39.26,40.82,0
TXN0000045,2026-08-02 13:13:28,CUST000134,MERCH00392,Grocery,35.95,Detroit,MI,Online,Gold,25,45778.01,8,0,1,28.17,19.16,0
TXN0000046,2026-08-08 22:16:12,CUST000285,MERCH00124,Fuel,73.94,Philadelphia,PA,Online,Gold,20,28052.97,9,0,1,45.12,31.21,0
TXN0000047,2025-11-25 22:48:01,CUST001150,MERCH00225,Electronics,303.51,Miami,FL,Swipe,Green,38,71762.07,14,0,0,334.36,78.26,0
TXN0000048,2025-11-07 15:17:41,CUST001463,MERCH00244,Fuel,49.14,Denver,CO,Chip,Platinum,50,68430.25,22,0,0,49.37,5.03,0
TXN0000049,2025-09-28 23:18:30,CUST000686,MERCH00318,Healthcare,289.2,Dallas,TX,Swipe,Business Platinum,66,88902.82,16,0,1,352.65,20.9,0
TXN0000050,2025-10-18 04:14:24,CUST001176,MERCH00332,Travel,288.61,Dallas,TX,Online,Gold,28,40502.6,13,0,1,193.92,13.89,0
TXN0000051,2026-07-01 04:52:21,CUST000331,MERCH00379,Entertainment,57.95,Seattle,WA,Contactless (Tap),Platinum,36,45380.56,10,0,0,41.24,43.7,0
TXN0000052,2026-05-21 10:23:11,CUST001407,MERCH00346,Healthcare,135.15,Denver,CO,Chip,Platinum,57,103184.77,9,0,0,157.32,19.16,0
TXN0000053,2025-09-28 01:56:23,CUST001139,MERCH00029,Fuel,36.87,Dallas,TX,Chip,Green,69,83099.12,17,0,1,36.22,11.72,0
TXN0000054,2025-09-06 17:33:32,CUST000894,MERCH00358,Fashion,210.4,Detroit,MI,Chip,Gold,44,62161.85,20,0,1,249.34,0.64,0
TXN0000055,2025-11-06 14:43:34,CUST001308,MERCH00357,Travel,594.43,Atlanta,GA,Chip,Platinum,24,15000.0,13,0,0,717.91,6.41,0
TXN0000056,2026-06-16 04:26:57,CUST000899,MERCH00366,Utilities,128.49,Dallas,TX,Contactless (Tap),Business Platinum,58,62509.12,15,1,0,98.57,3454.53,0
TXN0000057,2025-10-29 12:01:17,CUST001099,MERCH00365,Fuel,29.15,San Jose,CA,Chip,Platinum,68,92505.2,18,0,0,34.86,2.99,0
TXN0000058,2025-11-11 08:43:29,CUST001190,MERCH00285,Education,98.45,Los Angeles,CA,Contactless (Tap),Green,25,48629.85,6,0,0,150.28,7.93,0
TXN0000059,2026-04-29 14:05:23,CUST001213,MERCH00059,Utilities,188.12,New York,NY,Swipe,Platinum,53,81253.98,12,0,0,198.22,10.68,0
TXN0000060,2025-12-19 02:31:32,CUST000078,MERCH00143,Restaurants,55.88,Portland,OR,Online,Platinum,59,76245.08,18,0,0,34.92,8.23,0
TXN0000061,2025-11-05 04:10:28,CUST000947,MERCH00326,Online Retail,12.35,San Diego,CA,Online,Green,18,21498.26,18,0,0,7.58,4.83,0
TXN0000062,2026-05-07 11:30:53,CUST000688,MERCH00352,Education,246.36,Chicago,IL,Chip,Green,65,69976.23,6,0,0,334.75,17.91,0
TXN0000063,2026-05-12 06:26:55,CUST000021,MERCH00300,Education,307.76,Charlotte,NC,Contactless (Tap),Business Platinum,19,15000.0,10,0,0,300.12,5.38,0
TXN0000064,2025-11-28 07:48:30,CUST000566,MERCH00226,Entertainment,25.66,Charlotte,NC,Chip,Green,64,,17,0,0,19.81,10.81,0
TXN0000065,2025-10-09 21:07:22,CUST001208,MERCH00164,Grocery,20.6,Seattle,WA,Chip,Green,43,67420.95,11,0,0,19.65,26.29,0
TXN0000066,2025-12-20 01:01:10,CUST001246,MERCH00084,Home & Furniture,282.79,Detroit,MI,Contactless (Tap),Platinum,61,93315.32,20,0,1,328.19,7.73,0
TXN0000067,2025-10-15 09:44:55,CUST000827,MERCH00377,Utilities,51.95,Houston,TX,Chip,Gold,20,21977.7,4,0,0,68.44,65.78,0
TXN0000068,2025-09-03 19:41:49,CUST001352,MERCH00313,Entertainment,5.41,Los Angeles,CA,Chip,Platinum,64,89274.09,9,0,0,1.0,7.34,0
TXN0000069,2025-10-25 03:15:29,CUST000179,MERCH00117,Home & Furniture,181.59,San Antonio,TX,Chip,Platinum,62,78127.34,11,0,1,235.18,6.51,0
TXN0000070,2026-08-18 06:44:19,CUST001136,MERCH00320,Entertainment,49.81,San Jose,CA,Chip,Platinum,58,91855.74,22,0,0,53.57,8.69,0
TXN0000071,2025-11-06 02:00:46,CUST001083,MERCH00204,Home & Furniture,60.36,Los Angeles,CA,Chip,Platinum,62,103302.37,19,0,0,52.02,6.4,0
TXN0000072,2026-01-11 01:42:35,CUST001351,MERCH00355,Education,101.56,Phoenix,AZ,Contactless (Tap),Platinum,46,85353.7,21,0,1,82.9,16.39,0
TXN0000073,2026-05-14 15:01:14,CUST000905,MERCH00294,Fuel,30.89,Boston,MA,Chip,Gold,23,15249.45,13,0,0,21.69,21.88,0
TXN0000074,2026-02-01 11:37:30,CUST000669,MERCH00145,Home & Furniture,188.67,Boston,MA,Chip,Business Green,66,89038.69,20,0,1,216.85,4.87,0
TXN0000075,2026-07-17 05:44:34,CUST000191,MERCH00027,Restaurants,3.44,San Antonio,TX,Swipe,Platinum,59,108646.05,20,0,0,5.74,2.13,0
TXN0000076,2025-12-06 16:32:31,CUST001224,MERCH00017,Fuel,150.29,New York,NY,Chip,Platinum,27,46288.73,13,0,1,183.26,15.97,0
TXN0000077,2025-12-11 04:35:47,CUST001336,MERCH00063,Travel,238.07,Seattle,WA,Swipe,Gold,50,73661.17,23,0,0,191.72,3.53,0
TXN0000078,2025-09-23 07:34:07,CUST000708,MERCH00267,Travel,824.15,Charlotte,NC,Contactless (Tap),Business Platinum,70,112140.5,20,0,0,946.51,13.01,0
TXN0000079,2026-01-06 12:57:41,CUST001059,MERCH00064,Online Retail,45.73,San Diego,CA,Contactless (Tap),Gold,64,100465.73,22,0,0,21.81,12.91,0
TXN0000080,2026-02-07 02:13:21,CUST000379,MERCH00039,Fuel,39.3,Portland,OR,Swipe,Platinum,68,104544.17,21,0,1,54.97,5.65,0
TXN0000081,2026-05-19 07:21:29,CUST000387,MERCH00130,Education,73.83,Chicago,IL,Contactless (Tap),Green,62,84093.25,19,0,0,65.35,16.64,0
TXN0000082,2026-01-30 16:40:21,CUST000237,MERCH00115,Travel,135.0,San Antonio,TX,Online,Green,29,49224.08,22,0,0,169.21,10.49,0
TXN0000083,2025-12-22 18:18:48,CUST000616,MERCH00045,Electronics,163.85,San Antonio,TX,Chip,Business Platinum,60,87890.6,13,0,0,219.3,0.03,0
TXN0000084,2025-11-10 03:06:51,CUST000283,MERCH00216,Entertainment,49.07,Chicago,IL,Chip,Gold,33,33693.7,19,0,0,36.14,14.6,0
TXN0000085,2026-01-25 22:33:15,CUST000001,MERCH00088,Entertainment,30.04,Detroit,MI,Chip,Platinum,56,83045.85,10,0,1,25.71,5.75,0
TXN0000086,2026-06-30 23:03:22,CUST000464,MERCH00336,Grocery,66.21,San Jose,CA,Swipe,Platinum,42,59148.69,18,0,0,43.23,13.14,0
TXN0000087,2026-07-08 00:02:31,CUST001254,MERCH00177,Electronics,240.32,Denver,CO,Chip,Platinum,29,37349.83,19,0,0,337.91,9.65,0
TXN0000088,2026-05-10 20:07:26,CUST000967,MERCH00265,Travel,256.82,Atlanta,GA,Contactless (Tap),Platinum,51,90216.79,18,0,1,277.91,18.76,0
TXN0000089,2025-10-08 16:28:46,CUST000172,MERCH00105,Education,197.79,Boston,MA,Contactless (Tap),Platinum,69,94410.58,20,0,0,251.55,2.45,0
TXN0000090,2025-10-03 06:18:53,CUST001111,MERCH00381,Education,102.95,San Jose,CA,Contactless (Tap),Platinum,43,61090.35,13,0,0,129.13,7.68,0
TXN0000091,2026-07-16 03:58:40,CUST001147,MERCH00334,Electronics,198.15,Miami,FL,Chip,Business Green,50,76803.27,15,0,0,107.38,6.71,0
TXN0000092,2025-11-15 10:47:04,CUST000843,MERCH00301,Electronics,93.29,Detroit,MI,Contactless (Tap),Platinum,45,81956.65,1,0,1,86.07,15.58,0
TXN0000093,2025-11-02 04:21:31,CUST001322,MERCH00171,Restaurants,37.48,Miami,FL,Swipe,Platinum,46,81557.03,8,0,1,28.15,6.6,0
TXN0000094,2026-05-01 08:52:42,CUST000690,MERCH00108,Home & Furniture,114.03,Las Vegas,NV,Online,Platinum,39,71909.86,17,0,0,110.65,1.38,0
TXN0000095,2025-10-23 14:33:45,CUST000575,MERCH00355,Education,70.69,Phoenix,AZ,Contactless (Tap),Green,43,76827.8,15,1,0,39.46,891.55,0
TXN0000096,2025-10-17 01:10:02,CUST000165,MERCH00161,Entertainment,12.68,San Diego,CA,Swipe,Green,43,64957.76,9,1,0,16.67,7599.67,0
TXN0000097,2026-07-30 02:22:57,CUST000383,MERCH00283,Home & Furniture,409.95,Las Vegas,NV,Contactless (Tap),Gold,63,99427.87,10,0,0,319.6,30.57,0
TXN0000098,2026-02-02 07:29:34,CUST000209,MERCH00040,Fuel,19.68,Chicago,IL,Chip,Platinum,74,75048.17,12,0,0,20.06,0.86,0
TXN0000099,2026-03-22 18:25:31,CUST001456,MERCH00026,Entertainment,45.65,New York,NY,Chip,Business Green,41,64107.67,18,0,1,24.63,20.12,0
TXN0000100,2026-06-18 01:49:03,CUST001413,MERCH00083,Grocery,59.49,Seattle,WA,Online,Business Green,63,98989.25,16,0,0,95.67,8.33,0
TXN0000101,2026-07-16 13:18:50,CUST000224,MERCH00173,Restaurants,34.31,Atlanta,GA,Chip,Green,59,87288.49,7,0,0,34.7,13.18,0
TXN0000102,2026-02-23 11:56:48,CUST000003,MERCH00173,Restaurants,56.4,Atlanta,GA,Contactless (Tap),Gold,46,72340.27,19,0,0,82.17,9.54,0
TXN0000103,2026-02-14 13:49:09,CUST000372,MERCH00282,Fashion,112.68,Phoenix,AZ,Swipe,Green,25,56487.84,10,0,1,82.27,20.26,0
TXN0000104,2026-05-19 12:13:48,CUST001470,MERCH00070,Restaurants,50.6,New York,NY,Swipe,Platinum,67,98701.77,17,0,0,72.13,5.95,0
TXN0000105,2025-12-07 14:15:28,CUST000611,MERCH00323,Entertainment,74.92,Los Angeles,CA,Contactless (Tap),Platinum,67,106157.17,8,0,1,99.81,18.38,0
TXN0000106,2026-05-31 19:33:50,CUST000116,MERCH00006,Electronics,675.27,Las Vegas,NV,Chip,Platinum,18,32448.07,23,0,1,536.59,13.44,0
TXN0000107,2026-04-04 03:31:33,CUST001294,MERCH00284,Education,192.07,Dallas,TX,Swipe,Platinum,50,120252.98,7,1,1,270.94,3958.71,0
TXN0000108,2026-01-22 19:05:05,CUST000447,MERCH00195,Healthcare,88.41,Portland,OR,Contactless (Tap),Business Platinum,59,89311.81,18,0,0,76.25,9.5,0
TXN0000109,2026-07-13 21:21:15,CUST001392,MERCH00013,Entertainment,31.78,Portland,OR,Swipe,Business Green,65,81768.91,15,0,0,34.9,9.61,0
TXN0000110,2025-10-21 14:46:18,CUST001277,MERCH00063,Travel,109.3,Seattle,WA,Contactless (Tap),Gold,59,95296.61,7,0,0,138.75,1.74,0
TXN0000111,2026-01-09 02:52:38,CUST001341,MERCH00013,Entertainment,78.75,Portland,OR,Chip,Green,64,68876.62,4,0,0,99.01,0.82,0
TXN0000112,2025-11-06 15:50:46,CUST000415,MERCH00249,Education,2035.96,Dallas,TX,Contactless (Tap),Gold,58,109609.12,2,1,0,133.16,2081.52,1
TXN0000113,2026-06-01 23:17:47,CUST001119,MERCH00205,Home & Furniture,752.14,San Jose,CA,Chip,Platinum,27,23143.36,20,0,0,451.18,11.5,0
TXN0000114,2025-10-24 02:24:51,CUST000892,MERCH00385,Utilities,64.16,Los Angeles,CA,Online,Green,42,72608.39,5,0,0,47.57,2.27,0
TXN0000115,2025-12-25 15:27:45,CUST001048,MERCH00253,Entertainment,9.31,Miami,FL,Chip,Green,66,90155.43,18,0,0,26.41,32.09,0
TXN0000116,2026-06-06 07:42:03,CUST000663,MERCH00040,Fuel,77.67,Chicago,IL,Online,Gold,52,74927.98,17,0,1,80.8,2.36,0
TXN0000117,2026-07-15 23:56:10,CUST001074,MERCH00165,Travel,491.59,Las Vegas,NV,Contactless (Tap),Business Green,73,78786.36,10,0,0,277.08,14.56,0
TXN0000118,2025-11-26 04:08:54,CUST000718,MERCH00031,Fuel,61.99,San Diego,CA,Chip,Platinum,33,46145.06,7,0,0,67.01,16.43,0
TXN0000119,2026-06-22 11:20:32,CUST001359,MERCH00017,Fuel,19.16,New York,NY,Swipe,Business Green,68,107927.9,21,0,0,5.04,7.08,0
TXN0000120,2026-06-23 06:28:11,CUST001103,MERCH00137,Online Retail,42.8,Chicago,IL,Online,Platinum,54,115851.31,11,0,0,61.61,1.35,0
TXN0000121,2026-07-03 22:13:14,CUST001051,MERCH00365,Fuel,32.08,San Jose,CA,Swipe,Gold,62,85176.06,8,0,0,24.9,8.02,0
TXN0000122,2026-07-10 08:46:34,CUST000271,MERCH00320,Entertainment,26.1,San Jose,CA,Chip,Green,41,71680.17,17,1,0,50.68,1777.86,0
TXN0000123,2026-04-17 02:57:05,CUST000562,MERCH00313,Entertainment,22.84,Los Angeles,CA,Chip,Business Green,46,73842.15,10,0,0,32.87,0.29,0
TXN0000124,2026-04-17 15:29:47,CUST000804,MERCH00397,Travel,254.83,Los Angeles,CA,Online,Platinum,64,96336.06,14,0,0,188.54,15.86,0
TXN0000125,2026-01-10 18:11:42,CUST000247,MERCH00165,Travel,122.11,Las Vegas,NV,Online,Business Platinum,19,23106.66,6,0,1,165.31,10.2,0
TXN0000126,2026-03-04 13:31:45,CUST000387,MERCH00398,Fuel,73.32,Denver,CO,Chip,Gold,62,84093.25,23,0,0,101.66,0.99,0
TXN0000127,2026-04-24 11:40:32,CUST000702,MERCH00281,Travel,410.13,Columbus,OH,Online,Platinum,31,46497.65,14,0,0,458.62,13.78,0
TXN0000128,2026-02-24 20:36:40,CUST000559,MERCH00223,Fashion,132.68,New York,NY,Contactless (Tap),Business Platinum,54,97405.32,23,0,0,136.8,3.18,0
TXN0000129,2025-09-18 10:33:09,CUST000973,MERCH00122,Restaurants,39.93,Atlanta,GA,Online,Platinum,32,38738.53,12,0,0,67.21,13.77,0
TXN0000130,2026-05-05 17:16:31,CUST001385,MERCH00078,Grocery,91.75,Miami,FL,Chip,Green,50,78665.26,12,0,0,104.34,23.91,0
TXN0000131,2025-12-06 15:43:14,CUST000984,MERCH00313,Entertainment,5.16,Los Angeles,CA,Online,Gold,72,103428.76,21,0,1,4.64,18.17,0
TXN0000132,2025-09-22 05:54:35,CUST000352,MERCH00327,Home & Furniture,46.58,Detroit,MI,Online,Gold,52,88574.93,12,0,0,53.42,9.73,0
TXN0000133,2026-05-27 16:54:29,CUST001280,MERCH00088,Entertainment,37.01,Detroit,MI,Contactless (Tap),Business Platinum,57,87481.69,13,0,0,42.89,0.37,0
TXN0000134,2026-03-31 15:26:30,CUST001246,MERCH00113,Travel,305.95,San Jose,CA,Chip,Platinum,61,93315.32,7,0,0,438.38,15.91,0
TXN0000135,2026-07-25 20:44:02,CUST000753,MERCH00100,Entertainment,17.63,Los Angeles,CA,Contactless (Tap),Green,55,92284.16,22,0,1,6.74,50.39,0
TXN0000136,2025-09-25 03:05:34,CUST000781,MERCH00303,Fuel,61.95,Columbus,OH,Online,Platinum,67,96396.26,7,0,0,80.93,1.85,0
TXN0000137,2026-06-27 03:54:27,CUST001025,MERCH00372,Entertainment,15.19,Miami,FL,Contactless (Tap),Platinum,49,84199.45,19,0,1,6.25,1.69,0
TXN0000138,2025-12-27 21:10:23,CUST000546,MERCH00387,Travel,292.26,San Diego,CA,Contactless (Tap),Green,70,112594.92,15,0,1,291.06,19.4,0
TXN0000139,2025-11-09 08:00:57,CUST001470,MERCH00239,Home & Furniture,354.36,Philadelphia,PA,Chip,Platinum,67,98701.77,6,0,1,382.33,19.99,0
TXN0000140,2026-03-13 02:30:29,CUST000079,MERCH00346,Healthcare,94.85,Denver,CO,Online,Platinum,21,22902.18,0,0,0,129.97,22.33,0
TXN0000141,2026-02-26 21:42:38,CUST001260,MERCH00111,Home & Furniture,71.62,Phoenix,AZ,Contactless (Tap),Green,46,78270.96,22,1,0,51.88,922.42,0
TXN0000142,2026-03-12 07:40:05,CUST000334,MERCH00090,Restaurants,116.7,Philadelphia,PA,Online,Platinum,20,36290.11,18,0,0,74.09,1.49,0
TXN0000143,2025-12-10 14:22:32,CUST000889,MERCH00385,Utilities,133.65,Los Angeles,CA,Contactless (Tap),Platinum,28,32464.21,18,0,0,75.08,6.32,0
TXN0000144,2026-07-09 03:26:25,CUST001373,MERCH00139,Fuel,56.11,San Diego,CA,Contactless (Tap),Platinum,25,42308.99,13,0,0,39.97,5.6,0
TXN0000145,2026-06-08 12:43:48,CUST001122,MERCH00135,Utilities,142.08,Houston,TX,Chip,Green,62,74109.38,10,0,0,124.99,3.94,0
TXN0000146,2026-01-06 18:39:48,CUST001106,MERCH00012,Home & Furniture,78.56,San Antonio,TX,Chip,Gold,56,98217.82,17,0,0,61.17,16.81,0
TXN0000147,2026-02-25 09:17:10,CUST000502,MERCH00244,Fuel,60.19,Denver,CO,Swipe,Platinum,61,120877.03,16,0,0,45.01,6.18,0
TXN0000148,2025-09-08 10:49:40,CUST000765,MERCH00182,Fashion,93.88,Atlanta,GA,Swipe,Business Green,21,27744.96,18,0,0,131.25,2.23,0
TXN0000149,2026-06-15 17:48:27,CUST000921,MERCH00195,Healthcare,355.38,Portland,OR,Contactless (Tap),Gold,34,58945.8,12,0,0,273.87,16.3,0
TXN0000150,2026-05-26 22:56:09,CUST000550,MERCH00362,Utilities,127.84,Houston,TX,Chip,Platinum,22,42939.09,23,0,0,157.69,2.83,0
TXN0000151,2026-05-14 08:18:11,CUST000014,MERCH00122,Restaurants,19.93,Atlanta,GA,Contactless (Tap),Business Platinum,70,112627.25,6,0,0,37.9,31.0,0
TXN0000152,2026-02-26 23:43:07,CUST000392,MERCH00053,Fuel,36.05,Los Angeles,CA,Chip,Gold,44,63740.52,7,0,0,48.22,23.3,0
TXN0000153,2026-06-20 07:46:54,CUST001371,MERCH00356,Home & Furniture,16.29,Columbus,OH,Chip,Green,55,104322.52,21,0,1,9.11,19.32,0
TXN0000154,2026-03-22 22:56:09,CUST000310,MERCH00173,Restaurants,11.06,Atlanta,GA,Swipe,Green,47,69368.51,17,0,1,1.9,6.25,0
TXN0000155,2026-07-04 14:14:19,CUST000386,MERCH00179,Healthcare,123.04,Boston,MA,Online,Business Green,55,108161.1,11,0,1,164.28,17.61,0
TXN0000156,2026-05-06 17:29:34,CUST001233,MERCH00293,Travel,210.05,Miami,FL,Swipe,Green,26,36294.45,19,0,0,169.41,15.18,0
TXN0000157,2026-04-30 04:57:01,CUST001381,MERCH00375,Education,362.33,San Jose,CA,Chip,Platinum,30,36730.96,14,0,0,333.05,5.24,0
TXN0000158,2025-10-20 04:45:37,CUST000974,MERCH00059,Utilities,323.44,New York,NY,Online,Gold,44,76883.19,3,0,0,441.26,1.25,0
TXN0000159,2026-06-07 16:17:27,CUST001118,MERCH00054,Online Retail,55.84,Seattle,WA,Chip,Green,21,29402.73,17,0,1,62.68,23.17,0
TXN0000160,2026-05-26 20:40:36,CUST001117,MERCH00257,Entertainment,29.04,Detroit,MI,Chip,Business Platinum,42,51324.19,10,0,0,27.89,0.36,0
TXN0000161,2026-02-10 19:16:28,CUST000340,MERCH00245,Utilities,124.9,Boston,MA,Contactless (Tap),Gold,41,58636.76,8,0,0,143.38,3.59,0
TXN0000162,2025-11-23 12:37:28,CUST000597,MERCH00149,Utilities,215.49,San Antonio,TX,Online,Gold,62,98299.92,10,0,1,229.35,5.38,0
TXN0000163,2026-05-10 11:57:05,CUST001469,MERCH00284,Education,54.0,Dallas,TX,Online,Business Platinum,45,81674.33,14,0,1,57.98,2.0,0
TXN0000164,2026-02-08 16:49:38,CUST000757,MERCH00368,Fuel,29.03,Chicago,IL,Chip,Business Green,62,98059.55,6,0,1,41.49,2.67,0
TXN0000165,2026-07-28 10:30:54,CUST001046,MERCH00016,Utilities,46.66,Columbus,OH,Chip,Green,63,,21,0,0,42.2,0.72,0
